"papp","at"
"969.3846153846154","2024-02-13 17:19:00+00"
"949.8076923076923","2024-02-13 17:20:00+00"
"945.1538461538462","2024-02-13 17:21:00+00"
"917.1153846153846","2024-02-13 17:22:00+00"
"936.1923076923077","2024-02-13 17:23:00+00"
"927.3846153846154","2024-02-13 17:24:00+00"
"898.1538461538462","2024-02-13 17:25:00+00"
"879.4615384615385","2024-02-13 17:26:00+00"
"880.7692307692307","2024-02-13 17:27:00+00"
"871.3846153846154","2024-02-13 17:28:00+00"
"860.4230769230769","2024-02-13 17:29:00+00"
"894.6153846153846","2024-02-13 17:30:00+00"
"913.3076923076923","2024-02-13 17:31:00+00"
"918.8","2024-02-13 17:32:00+00"
"921.7777777777778","2024-02-13 17:33:00+00"
"918.1538461538462","2024-02-13 17:34:00+00"
"893","2024-02-13 17:35:00+00"
"894.8846153846154","2024-02-13 17:36:00+00"
"937.3076923076923","2024-02-13 17:37:00+00"
"954.7407407407408","2024-02-13 17:38:00+00"
"961.7692307692307","2024-02-13 17:39:00+00"
"947.5769230769231","2024-02-13 17:40:00+00"
"933.5384615384615","2024-02-13 17:41:00+00"
"895.5","2024-02-13 17:42:00+00"
"880.5384615384615","2024-02-13 17:43:00+00"
"911.7307692307693","2024-02-13 17:44:00+00"
"935.1153846153846","2024-02-13 17:45:00+00"
"936","2024-02-13 17:46:00+00"
"934.1538461538462","2024-02-13 17:47:00+00"
"941.3846153846154","2024-02-13 17:48:00+00"
"950.3076923076923","2024-02-13 17:49:00+00"
"955.6153846153846","2024-02-13 17:50:00+00"
"952.3076923076923","2024-02-13 17:51:00+00"
"946.4615384615385","2024-02-13 17:52:00+00"
"958.9230769230769","2024-02-13 17:53:00+00"
"956.3076923076923","2024-02-13 17:54:00+00"
"971.6923076923077","2024-02-13 17:55:00+00"
"967.4444444444445","2024-02-13 17:56:00+00"
"954.5","2024-02-13 17:57:00+00"
"952.0769230769231","2024-02-13 17:58:00+00"
"947.1923076923077","2024-02-13 17:59:00+00"
"917.1923076923077","2024-02-13 18:00:00+00"
"930.4230769230769","2024-02-13 18:01:00+00"
"923.3076923076923","2024-02-13 18:02:00+00"
"940.3076923076923","2024-02-13 18:03:00+00"
"927.1538461538462","2024-02-13 18:04:00+00"
"904.7692307692307","2024-02-13 18:05:00+00"
"907.6153846153846","2024-02-13 18:06:00+00"
"923.6923076923077","2024-02-13 18:07:00+00"
"919.4615384615385","2024-02-13 18:08:00+00"
"927.6538461538462","2024-02-13 18:09:00+00"
"923.1923076923077","2024-02-13 18:10:00+00"
"926.8461538461538","2024-02-13 18:11:00+00"
"932.7692307692307","2024-02-13 18:12:00+00"
"925.3076923076923","2024-02-13 18:13:00+00"
"923.0769230769231","2024-02-13 18:14:00+00"
"920.1153846153846","2024-02-13 18:15:00+00"
"910.3846153846154","2024-02-13 18:16:00+00"
"895.5769230769231","2024-02-13 18:17:00+00"
"910.3846153846154","2024-02-13 18:18:00+00"
"912.9230769230769","2024-02-13 18:19:00+00"
"915.8846153846154","2024-02-13 18:20:00+00"
"916.9615384615385","2024-02-13 18:21:00+00"
"906.4230769230769","2024-02-13 18:22:00+00"
"901.1923076923077","2024-02-13 18:23:00+00"
"898.1153846153846","2024-02-13 18:24:00+00"
"897.0384615384615","2024-02-13 18:25:00+00"
"915.2692307692307","2024-02-13 18:26:00+00"
"915.0384615384615","2024-02-13 18:27:00+00"
"911.1538461538462","2024-02-13 18:28:00+00"
"906.1923076923077","2024-02-13 18:29:00+00"
"898.3076923076923","2024-02-13 18:30:00+00"
"891.2692307692307","2024-02-13 18:31:00+00"
"890.0384615384615","2024-02-13 18:32:00+00"
"861.1538461538462","2024-02-13 18:33:00+00"
"874.4230769230769","2024-02-13 18:34:00+00"
"859.6153846153846","2024-02-13 18:35:00+00"
"892.6538461538462","2024-02-13 18:36:00+00"
"910.3461538461538","2024-02-13 18:37:00+00"
"920.6153846153846","2024-02-13 18:38:00+00"
"927.7307692307693","2024-02-13 18:39:00+00"
"915.5","2024-02-13 18:40:00+00"
"907.3076923076923","2024-02-13 18:41:00+00"
"907","2024-02-13 18:42:00+00"
"913.7307692307693","2024-02-13 18:43:00+00"
"928.4230769230769","2024-02-13 18:44:00+00"
"926.1153846153846","2024-02-13 18:45:00+00"
"918.3076923076923","2024-02-13 18:46:00+00"
"944.9230769230769","2024-02-13 18:47:00+00"
"937.3461538461538","2024-02-13 18:48:00+00"
"935.0769230769231","2024-02-13 18:49:00+00"
"936.9230769230769","2024-02-13 18:50:00+00"
"930.2692307692307","2024-02-13 18:51:00+00"
"890.5769230769231","2024-02-13 18:52:00+00"
"900.5384615384615","2024-02-13 18:53:00+00"
"892.3461538461538","2024-02-13 18:54:00+00"
"906.4230769230769","2024-02-13 18:55:00+00"
"910.8461538461538","2024-02-13 18:56:00+00"
"898.5","2024-02-13 18:57:00+00"
"903.7692307692307","2024-02-13 18:58:00+00"
"887.6538461538462","2024-02-13 18:59:00+00"
"887","2024-02-13 19:00:00+00"
"885.0769230769231","2024-02-13 19:01:00+00"
"871.5384615384615","2024-02-13 19:02:00+00"
"876.7692307692307","2024-02-13 19:03:00+00"
"879.8846153846154","2024-02-13 19:04:00+00"
"857.8461538461538","2024-02-13 19:05:00+00"
"839.6538461538462","2024-02-13 19:06:00+00"
"848.6153846153846","2024-02-13 19:07:00+00"
"858.6153846153846","2024-02-13 19:08:00+00"
"877.4615384615385","2024-02-13 19:09:00+00"
"878.0769230769231","2024-02-13 19:10:00+00"
"869.6923076923077","2024-02-13 19:11:00+00"
"878.2307692307693","2024-02-13 19:12:00+00"
"879","2024-02-13 19:13:00+00"
"883.6153846153846","2024-02-13 19:14:00+00"
"881.2307692307693","2024-02-13 19:15:00+00"
"864.6538461538462","2024-02-13 19:16:00+00"
"863.0384615384615","2024-02-13 19:17:00+00"
"861.0769230769231","2024-02-13 19:18:00+00"
"860.0384615384615","2024-02-13 19:19:00+00"
"878.2692307692307","2024-02-13 19:20:00+00"
"862.6538461538462","2024-02-13 19:21:00+00"
"822.5769230769231","2024-02-13 19:22:00+00"
"814.5185185185185","2024-02-13 19:23:00+00"
"769.7692307692307","2024-02-13 19:24:00+00"
"771.8461538461538","2024-02-13 19:25:00+00"
"764.3076923076923","2024-02-13 19:26:00+00"
"764","2024-02-13 19:27:00+00"
"751.5","2024-02-13 19:28:00+00"
"754.8461538461538","2024-02-13 19:29:00+00"
"770.3846153846154","2024-02-13 19:30:00+00"
"788.3076923076923","2024-02-13 19:31:00+00"
"786.2222222222222","2024-02-13 19:32:00+00"
"786","2024-02-13 19:33:00+00"
"773.52","2024-02-13 19:34:00+00"
"778.5384615384615","2024-02-13 19:35:00+00"
"774.3846153846154","2024-02-13 19:36:00+00"
"768.4615384615385","2024-02-13 19:37:00+00"
"778.1538461538462","2024-02-13 19:38:00+00"
"793.7692307692307","2024-02-13 19:39:00+00"
"783.4615384615385","2024-02-13 19:40:00+00"
"783.9230769230769","2024-02-13 19:41:00+00"
"772.9230769230769","2024-02-13 19:42:00+00"
"775.6923076923077","2024-02-13 19:43:00+00"
"765.8461538461538","2024-02-13 19:44:00+00"
"757.5925925925926","2024-02-13 19:45:00+00"
"738.7307692307693","2024-02-13 19:46:00+00"
"756.2692307692307","2024-02-13 19:47:00+00"
"750.2692307692307","2024-02-13 19:48:00+00"
"744.2307692307693","2024-02-13 19:49:00+00"
"727.6538461538462","2024-02-13 19:50:00+00"
"733.7307692307693","2024-02-13 19:51:00+00"
"727.2692307692307","2024-02-13 19:52:00+00"
"721.2307692307693","2024-02-13 19:53:00+00"
"718.1153846153846","2024-02-13 19:54:00+00"
"711.2692307692307","2024-02-13 19:55:00+00"
"709.0769230769231","2024-02-13 19:56:00+00"
"705.1538461538462","2024-02-13 19:57:00+00"
"698.2692307692307","2024-02-13 19:58:00+00"
"699.9230769230769","2024-02-13 19:59:00+00"
"675","2024-02-13 20:00:00+00"
"683.6153846153846","2024-02-13 20:01:00+00"
"681.1153846153846","2024-02-13 20:02:00+00"
"671.3846153846154","2024-02-13 20:03:00+00"
"674.8461538461538","2024-02-13 20:04:00+00"
"675","2024-02-13 20:05:00+00"
"674.0384615384615","2024-02-13 20:06:00+00"
"679.7692307692307","2024-02-13 20:07:00+00"
"678.0769230769231","2024-02-13 20:08:00+00"
"675.1153846153846","2024-02-13 20:09:00+00"
"678.8461538461538","2024-02-13 20:10:00+00"
"672.2692307692307","2024-02-13 20:11:00+00"
"666.4615384615385","2024-02-13 20:12:00+00"
"670.8076923076923","2024-02-13 20:13:00+00"
"677.7307692307693","2024-02-13 20:14:00+00"
"671.2692307692307","2024-02-13 20:15:00+00"
"670.0384615384615","2024-02-13 20:16:00+00"
"668.0769230769231","2024-02-13 20:17:00+00"
"668","2024-02-13 20:18:00+00"
"675.3846153846154","2024-02-13 20:19:00+00"
"670.2307692307693","2024-02-13 20:20:00+00"
"670","2024-02-13 20:21:00+00"
"661.6923076923077","2024-02-13 20:22:00+00"
"664.8461538461538","2024-02-13 20:23:00+00"
"665.9615384615385","2024-02-13 20:24:00+00"
"672.7307692307693","2024-02-13 20:25:00+00"
"675.8846153846154","2024-02-13 20:26:00+00"
"667.3461538461538","2024-02-13 20:27:00+00"
"655.4615384615385","2024-02-13 20:28:00+00"
"664.2307692307693","2024-02-13 20:29:00+00"
"665","2024-02-13 20:30:00+00"
"665","2024-02-13 20:31:00+00"
"681.6153846153846","2024-02-13 20:32:00+00"
"684.8518518518518","2024-02-13 20:33:00+00"
"667.6923076923077","2024-02-13 20:34:00+00"
"667.9615384615385","2024-02-13 20:35:00+00"
"664.1538461538462","2024-02-13 20:36:00+00"
"661.12","2024-02-13 20:37:00+00"
"664.7037037037037","2024-02-13 20:38:00+00"
"666.9230769230769","2024-02-13 20:39:00+00"
"662.1923076923077","2024-02-13 20:40:00+00"
"661.0384615384615","2024-02-13 20:41:00+00"
"661","2024-02-13 20:42:00+00"
"673.48","2024-02-13 20:43:00+00"
"681.3846153846154","2024-02-13 20:44:00+00"
"670","2024-02-13 20:45:00+00"
